Sekolah_KabKota_Provinsi,Sekolah,lat,lng
SMAN 10 FAJAR HARAPAN BANDA ACEH,SMAN 10 FAJAR HARAPAN BANDA ACEH,5.5577,95.3222
MAN INSAN CENDEKIA ACEH TIMUR,MAN INSAN CENDEKIA ACEH TIMUR,4.63333,97.63333
SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL,SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL,4.0,97.0
SMAS LAB SCHOOL,SMAS LAB SCHOOL,4.0,97.0
SMAS FATIH BILINGUAL SCHOOL,SMAS FATIH BILINGUAL SCHOOL,4.0,97.0
SMA NEGERI MODAL BANGSA,SMA NEGERI MODAL BANGSA,4.0,97.0
SMAN 1 MEDAN,SMAN 1 MEDAN,3.9977459,98.2344368
SMAS SUTOMO 1,SMAS SUTOMO 1,3.7835,98.6557
SMAS WR SUPRATMAN 2,SMAS WR SUPRATMAN 2,3.7746,98.6293
SMAS SUTOMO 2,SMAS SUTOMO 2,3.7746,98.6293
SMAS BUDI MULIA,SMAS BUDI MULIA,3.6596,98.7414
SMAS METHODIST 2 MEDAN,SMAS METHODIST 2 MEDAN,3.58333,98.66667
SMAN 4 MEDAN,SMAN 4 MEDAN,3.58333,98.66667
SMAN 3 MEDAN,SMAN 3 MEDAN,3.58333,98.66667
SMAS METHODIST 3 MEDAN,SMAS METHODIST 3 MEDAN,3.58333,98.66667
SMAN 2 MEDAN,SMAN 2 MEDAN,3.58333,98.66667
SMAS SANTO THOMAS 1 MEDAN,SMAS SANTO THOMAS 1 MEDAN,3.58333,98.66667
SMAN 15 MEDAN,SMAN 15 MEDAN,3.58333,98.66667
SMAN 5 MEDAN,SMAN 5 MEDAN,3.5653558,98.6983964
SMAS HARAPAN 3 DELI TUA,SMAS HARAPAN 3 DELI TUA,3.5078,98.6839
SMAN 1 TARAKAN,SMAN 1 TARAKAN,3.3066709,117.5865587
SMAN UNGGUL TAPAKTUAN,SMAN UNGGUL TAPAKTUAN,3.2582,97.18
SMA NEGERI 1 KABANJAHE,SMA NEGERI 1 KABANJAHE,3.1001,98.4908
SMAN 4 PEMATANG SIANTAR,SMAN 4 PEMATANG SIANTAR,2.978,99.0557
SMAN 1 SIDIKALANG,SMAN 1 SIDIKALANG,2.74899,98.3127
SMAN 2 BALIGE,SMAN 2 BALIGE,2.3328,99.0657
SMAN 2 LINTONGNIHUTA,SMAN 2 LINTONGNIHUTA,2.276,98.866
SMAN 1 BERAU,SMAN 1 BERAU,2.1665261,117.47946
SMAN 3 TARUTUNG,SMAN 3 TARUTUNG,2.01467,98.96548
SMAS KALAM KUDUS,SMAS KALAM KUDUS,2.0,99.0
SMA UNGGULAN CT FOUNDATION,SMA UNGGULAN CT FOUNDATION,2.0,99.0
SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN,SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN,2.0,99.0
SMAS KRISTEN KALAM KUDUS,SMAS KRISTEN KALAM KUDUS,2.0,99.0
SMAS UNGGUL DEL,SMAS UNGGUL DEL,2.0,99.0
SMAS METHODIST,SMAS METHODIST,2.0,99.0
SMAS PRIMEONE SCHOOL,SMAS PRIMEONE SCHOOL,2.0,99.0
SMAN BINSUS KOTA DUMAI,SMAN BINSUS KOTA DUMAI,1.6861544,101.4046993
SMAN 1 MATAULI PANDAN,SMAN 1 MATAULI PANDAN,1.6838000000000002,98.822
MAN INSAN CENDEKIA SAMBAS,MAN INSAN CENDEKIA SAMBAS,1.33333,109.25
SMA LENTERA HARAPAN TOMOHON,SMA LENTERA HARAPAN TOMOHON,1.31678,124.80379
SMAS LOKON ST NIKOLAUS TOMOHON,SMAS LOKON ST NIKOLAUS TOMOHON,1.31678,124.80379
MAN INSAN CENDEKIA TAPANULI SELATAN,MAN INSAN CENDEKIA TAPANULI SELATAN,1.2819,99.4768
SMA MANADO INDEPENDENT SCHOOL,SMA MANADO INDEPENDENT SCHOOL,1.25,124.83333
SMAN 1 BINTAN UTARA,SMAN 1 BINTAN UTARA,1.1147711,104.2434847
SMAN 19 BATAM,SMAN 19 BATAM,1.08333,104.05
SMAN 5 BATAM,SMAN 5 BATAM,1.08333,104.05
MAN INSAN CENDEKIA KOTA BATAM,MAN INSAN CENDEKIA KOTA BATAM,1.08333,104.05
SMKN 1 BATAM,SMKN 1 BATAM,1.08333,104.05
SMAN 4 BATAM,SMAN 4 BATAM,1.08333,104.05
SMAN 20 BATAM,SMAN 20 BATAM,1.08333,104.05
MAN BATAM,MAN BATAM,1.08333,104.05
SMAN 3 BATAM,SMAN 3 BATAM,1.08333,104.05
SMAN 1 BATAM,SMAN 1 BATAM,1.08333,104.05
SMAN 1 TANJUNG PINANG,SMAN 1 TANJUNG PINANG,0.91683,104.44329
SMAN 1 TANJUNGPINANG,SMAN 1 TANJUNGPINANG,0.91667,104.45
SMAN 2 TANJUNGPINANG,SMAN 2 TANJUNGPINANG,0.91667,104.45
SMAS SANTO IGNASIUS SINGKAWANG,SMAS SANTO IGNASIUS SINGKAWANG,0.90925,108.98463
SMAN 3 SINGKAWANG,SMAN 3 SINGKAWANG,0.90925,108.98463
SMAS CENDANA MANDAU,SMAS CENDANA MANDAU,0.7833300000000001,101.76667
SMAS Mutiara Harapan,SMAS Mutiara Harapan,0.7107,100.534
SMAN 1 TUALANG,SMAN 1 TUALANG,0.6866379,101.5863992
SMAS ISLAM TERPADU ULIL ALBAB,SMAS ISLAM TERPADU ULIL ALBAB,0.61667,106.98333
SMAS KATOLIK YOS SUDARSO,SMAS KATOLIK YOS SUDARSO,0.61667,106.98333
SMAS IT IMAM SYAFII,SMAS IT IMAM SYAFII,0.61667,106.98333
SMAS KARTINI,SMAS KARTINI,0.61667,106.98333
SMAS MAITREYAWIRA,SMAS MAITREYAWIRA,0.61667,106.98333
MAN Insan Cendekia Gorontalo,MAN Insan Cendekia Gorontalo,0.5536152,123.1280805
SMK KEHUTANAN NEGERI PEKANBARU,SMK KEHUTANAN NEGERI PEKANBARU,0.5333300000000001,101.45
SMA NEGERI 4 PEKANBARU,SMA NEGERI 4 PEKANBARU,0.5333300000000001,101.45
SMK NEGERI 1 PEKANBARU,SMK NEGERI 1 PEKANBARU,0.5260769,101.4587647
SMA NEGERI 1 PEKANBARU,SMA NEGERI 1 PEKANBARU,0.5255217999999999,101.4542464
SMA NEGERI 2 PEKANBARU,SMA NEGERI 2 PEKANBARU,0.5211836,101.4316043
SMAN 2 SANGATTA UTARA,SMAN 2 SANGATTA UTARA,0.5143757,117.5398223
MAN 2 PEKANBARU,MAN 2 PEKANBARU,0.5107520999999999,101.4530912
SMA NEGERI 8 PEKANBARU,SMA NEGERI 8 PEKANBARU,0.5083833,101.4582764
SMAS DARMA YUDHA,SMAS DARMA YUDHA,0.5005000000000001,101.749
SMA DHARMA LOKA,SMA DHARMA LOKA,0.5005000000000001,101.749
MAN INSAN CENDEKIA SIAK,MAN INSAN CENDEKIA SIAK,0.5005000000000001,101.749
SMA IT AL ITTIHAD,SMA IT AL ITTIHAD,0.5005000000000001,101.749
SMAS CENDANA,SMAS CENDANA,0.5005000000000001,101.749
SMAS SANTO TARCISIUS,SMAS SANTO TARCISIUS,0.5005000000000001,101.749
SMAN PLUS PROP RIAU,SMAN PLUS PROP RIAU,0.5005000000000001,101.749
SMA IT AL BAYYINAH,SMA IT AL BAYYINAH,0.5005000000000001,101.749
SMAS SANTA MARIA,SMAS SANTA MARIA,0.5005000000000001,101.749
SMAS PLUS TARUNA ANDALAN,SMAS PLUS TARUNA ANDALAN,0.5005000000000001,101.749
MAN 1 PEKANBARU,MAN 1 PEKANBARU,0.5004784999999999,101.4412531
SMAS IT DAARUL HIKMAH,SMAS IT DAARUL HIKMAH,0.5,116.5
SMAS Islam Bunga Bangsa,SMAS Islam Bunga Bangsa,0.5,116.5
MAN INSAN CENDEKIA PASER,MAN INSAN CENDEKIA PASER,0.5,116.5
SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA,0.5,116.5
SMA Islam Terpadu Granada,SMA Islam Terpadu Granada,0.5,116.5
SMAN 1 LUBUK SIKAPING,SMAN 1 LUBUK SIKAPING,0.14411,100.1657
SMAN 1 SANGGAU,SMAN 1 SANGGAU,0.13333,110.6
SMAN 2 BONTANG,SMAN 2 BONTANG,0.1324,117.4854
SMAS YAYASAN PUPUK KALTIM BONTANG,SMAS YAYASAN PUPUK KALTIM BONTANG,0.1324,117.4854
SMAN 1 BONTANG,SMAN 1 BONTANG,0.1324,117.4854
SMA NEGERI 3 SUMATERA BARAT,SMA NEGERI 3 SUMATERA BARAT,0.102919,100.1912919
SMA N 1 PASAMAN,SMA N 1 PASAMAN,0.0833,99.81667
SMAS KRISTEN IMMANUEL,SMAS KRISTEN IMMANUEL,0.0,110.5
SMAS GEMBALA BAIK PONTIANAK,SMAS GEMBALA BAIK PONTIANAK,-0.03109,109.32199
SMA KATOLIK SANTU PETRUS PONTIANAK,SMA KATOLIK SANTU PETRUS PONTIANAK,-0.03109,109.32199
SMAN 1 PONTIANAK,SMAN 1 PONTIANAK,-0.03109,109.32199
SMAN 3 PONTIANAK,SMAN 3 PONTIANAK,-0.03109,109.32199
MAN 2 PONTIANAK,MAN 2 PONTIANAK,-0.0596325,109.3540116
SMAN 1 PAYAKUMBUH,SMAN 1 PAYAKUMBUH,-0.2159,100.6334
SMAN 2 PAYAKUMBUH,SMAN 2 PAYAKUMBUH,-0.2159,100.6334
SMAN 3 BUKITTINGGI,SMAN 3 BUKITTINGGI,-0.30907,100.37055
SMAN 2 BUKITTINGGI,SMAN 2 BUKITTINGGI,-0.30907,100.37055
MAN 1 KOTA BUKITTINGGI,MAN 1 KOTA BUKITTINGGI,-0.30907,100.37055
SMAN 1 BUKITTINGGI,SMAN 1 BUKITTINGGI,-0.30907,100.37055
